rbd|codEdu|nombre|matemática1|matemática2|lectura|ciencias|historia|nem|ranking|promedio|dep|nse|posPromedio|posMatemática1|posMatemática2|posLectura|posCiencias|posHistoria|posNem|posRanking|región|comuna
10023|310|LICEO ALBERTO HURTADO|538.7|359.9|554.6|424.3|455.7|785.9|810.7|581.7257653061224|P. C/Subv|Medio|1947|2371|2608|2065|2822|2073|565|528|RM|Quinta Normal
10030|310|LICEO POLIVALENTE SAN JOSÉ DE LA PRECIOSA SANGRE|644|442.6|649.6|529.2|545.9|751.4|772.7|640.9617760617759|P. C/Subv|Medio|648|582|499|493|455|529|1029|1056|RM|Quinta Normal
10030|510|LICEO POLIVALENTE SAN JOSÉ DE LA PRECIOSA SANGRE|580.1|368.9|569.9|437.8|446.8|527.6|549.7|516.137106918239|P. C/Subv|Medio|3884|1374|2104|1730|2230|2377|4171|4158|RM|Quinta Normal
10042|310|COLEGIO BICENTENARIO ELVIRA HURTADO DE MATTE DE SANTIAGO|662.8|470.9|653.2|538.6|547.9|728.4|754.6|646.688501026694|P. C/Subv|Medio|582|476|347|470|403|512|1408|1392|RM|Quinta Normal
10044|410|CENTRO EDUCACIONAL ALBERTO HURTADO|528.8|347.1|551.4|414.2|465|767.6|818.7|596.8657142857144|P. C/Subv|Medio Bajo|1496|2677|3267|2141|3283|1817|815|451|RM|Quinta Normal
10044|510|CENTRO EDUCACIONAL ALBERTO HURTADO|526.5|357.1|499.7|409.9|431.3|664.4|694.1|561.186217948718|P. C/Subv|Medio Bajo|2633|2764|2763|3358|3470|2845|2746|2620|RM|Quinta Normal
10052|410|LICEO POLITÉCNICO SAN FRANCISCO SOLANO|509.3|326.8|486.8|383.3|403.4|689.5|762|545.1141176470588|P. C/Subv|Bajo|3179|3284|3881|3616|4102|3636|2214|1256|RM|Cerro Navia
10058|410|COLEGIO POLIVALENTE PRÍNCIPE DE GALES|550.4|371.9|580.9|426.8|451.9|647|680.6|547.8003759398496|P. C/Subv|Medio|3100|2048|1972|1498|2705|2197|3071|2903|RM|Estación Central
10069|310|COLEGIO MARQUEL|603.7|381.1|608.2|472.4|529.2|603.1|620.5|567.6553240740741|P. C/Subv|Medio|2411|989|1598|998|1173|671|3740|3760|RM|Quinta Normal
10073|510|LICEO BICENTENARIO INDUSTRIAL VICENTE PÉREZ ROSALES|556.6|372.5|542.8|453.7|441.1|589.4|608|538.8166386554623|Público|Medio Bajo|3380|1899|1935|2334|1702|2546|3871|3892|RM|Quinta Normal
10075|310|LICEO POLIVALENTE LOS HÉROES DE LA CONCEPCIÓN|484.1|329.1|463.2|406.9|389.8|606.2|632.4|502.1060606060606|Público|Bajo|4057|3862|3828|3936|3591|3937|3711|3635|RM|Cerro Navia
10075|363|LICEO POLIVALENTE LOS HÉROES DE LA CONCEPCIÓN|471.6|381|497|394|445.5|642.9|680.3|556.9575757575757|Público|Bajo|2776|4021|1602|3427|3972|2419|3142|2908|RM|Cerro Navia
10075|410|LICEO POLIVALENTE LOS HÉROES DE LA CONCEPCIÓN|565.9|355.3|528.1|435.7|457.8|670.2|714.3|546.6541666666667|Público|Bajo|3129|1668|2869|2701|2297|2016|2627|2179|RM|Cerro Navia
10075|610|LICEO POLIVALENTE LOS HÉROES DE LA CONCEPCIÓN|444.2|314.7|410.2|396.7|366.2|630.3|675.3|506.6368421052631|Público|Bajo|4011|4185|3973|4179|3919|4135|3345|2991|RM|Cerro Navia
10076|410|COMPLEJO EDUCACIONAL PEDRO PRADO|515.8|370.8|570.1|400.6|455.2|657.3|674.7|551.2727272727273|Público|Bajo|2977|3112|2019|1725|3796|2092|2898|3005|RM|Lo Prado
10076|510|COMPLEJO EDUCACIONAL PEDRO PRADO|496.5|388|456.4|344.3|446.6|581.9|591.5|526.7015384615385|Público|Bajo|3689|3610|1363|3986|4192|2386|3926|3984|RM|Lo Prado
10076|610|COMPLEJO EDUCACIONAL PEDRO PRADO|494.6|338.4|497.8|393.7|402|665.4|681.3|533.3889570552146|Público|Bajo|3519|3653|3602|3402|3979|3680|2724|2894|RM|Lo Prado
